"","timestamp","id.x","lat","long","start_vec","stop_vec","Possible_Location"
"1",2014-01-06 08:22:12,"22",36.048021,24.879565,0,1,NA
"2",2014-01-07 12:03:01,"26",36.048021,24.879565,1,0,NA
"3",2014-01-10 08:00:12,"17",36.048021,24.879566,0,1,NA
"4",2014-01-14 11:11:01,"15",36.048021,24.879566,1,0,NA
"5",2014-01-16 13:37:27,"32",36.048021,24.879566,0,1,NA
"6",2014-01-16 13:48:27,"6",36.048021,24.879566,0,1,NA
"7",2014-01-17 13:25:17,"10",36.048021,24.879566,0,1,NA
"8",2014-01-17 13:52:26,"21",36.048021,24.879566,0,1,NA
"9",2014-01-06 13:55:05,"19",36.048021,24.879567,0,1,NA
"10",2014-01-08 08:00:09,"27",36.048021,24.879567,0,1,NA
"11",2014-01-09 13:48:26,"17",36.048021,24.879567,0,1,NA
"12",2014-01-10 11:52:01,"5",36.048021,24.879567,1,0,NA
"13",2014-01-13 11:46:01,"6",36.048021,24.879567,1,0,NA
"14",2014-01-14 17:27:01,"13",36.048021,24.879567,1,0,NA
"15",2014-01-15 17:37:58,"29",36.048021,24.879567,1,0,NA
"16",2014-01-17 07:43:52,"32",36.048021,24.879567,0,1,NA
"17",2014-01-08 12:32:01,"4",36.048021,24.879568,1,0,NA
"18",2014-01-14 12:32:12,"29",36.048021,24.879568,1,0,NA
"19",2014-01-07 17:38:01,"18",36.048021,24.879569,1,0,NA
"20",2014-01-08 12:04:01,"13",36.048021,24.879569,1,0,NA
"21",2014-01-15 08:25:12,"30",36.048021,24.879569,0,1,NA
"22",2014-01-15 12:14:01,"17",36.048021,24.879569,1,0,NA
"23",2014-01-17 08:29:12,"22",36.048021,24.879569,0,1,NA
"24",2014-01-06 07:13:31,"35",36.048021,24.87957,0,1,NA
"25",2014-01-07 17:17:01,"8",36.048021,24.87957,1,0,NA
"26",2014-01-09 12:16:01,"3",36.048021,24.87957,1,0,NA
"27",2014-01-13 10:26:23,"104",36.048021,24.87957,1,0,NA
"28",2014-01-15 08:38:14,"106",36.048021,24.87957,1,0,NA
"29",2014-01-06 12:09:01,"3",36.048021,24.879571,1,0,NA
"30",2014-01-06 15:53:30,"101",36.048021,24.879571,1,1,NA
