NO,timestamp,location,price,last4ccnum,date,hour,weekday,dayofmonth,timeperiod,concat
1,2014-01-06T07:28:00Z,Brew've Been Served,11.34,4795,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Brew've Been Served 11.34
2,2014-01-06T07:34:00Z,Hallowed Grounds,52.22,7108,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Hallowed Grounds 52.22
3,2014-01-06T07:35:00Z,Brew've Been Served,8.33,6816,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Brew've Been Served 8.33
4,2014-01-06T07:36:00Z,Hallowed Grounds,16.72,9617,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Hallowed Grounds 16.72
5,2014-01-06T07:37:00Z,Brew've Been Served,4.24,7384,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Brew've Been Served 4.24
6,2014-01-06T07:38:00Z,Brew've Been Served,4.17,5368,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Brew've Been Served 4.17
7,2014-01-06T07:42:00Z,Coffee Cameleon,28.73,7253,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Coffee Cameleon 28.73
8,2014-01-06T07:43:00Z,Brew've Been Served,9.6,4948,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Brew've Been Served 9.6
9,2014-01-06T07:43:00Z,Brew've Been Served,16.9,9683,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Brew've Been Served 16.9
10,2014-01-06T07:47:00Z,Hallowed Grounds,16.53,8129,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Hallowed Grounds 16.53
11,2014-01-06T07:48:00Z,Hallowed Grounds,10.66,3492,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Hallowed Grounds 10.66
12,2014-01-06T07:49:00Z,Coffee Cameleon,8.39,5921,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Coffee Cameleon 8.39
13,2014-01-06T07:52:00Z,Brew've Been Served,32.83,9405,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Brew've Been Served 32.83
14,2014-01-06T07:54:00Z,Hallowed Grounds,16.88,7889,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Hallowed Grounds 16.88
15,2014-01-06T07:54:00Z,Coffee Cameleon,11.86,2142,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Coffee Cameleon 11.86
16,2014-01-06T07:54:00Z,Hallowed Grounds,32.93,2681,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Hallowed Grounds 32.93
17,2014-01-06T07:55:00Z,Hallowed Grounds,8.05,9551,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Hallowed Grounds 8.05
18,2014-01-06T07:55:00Z,Brew've Been Served,3.67,3484,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Brew've Been Served 3.67
19,2014-01-06T07:59:00Z,Brew've Been Served,8.88,7819,2014-01-06,7,Mon,6,Early morning,2014-01-06 Mon 6 Brew've Been Served 8.88
20,2014-01-06T08:00:00Z,Brew've Been Served,4.27,5407,2014-01-06,8,Mon,6,Early morning,2014-01-06 Mon 6 Brew've Been Served 4.27
21,2014-01-06T08:00:00Z,Hallowed Grounds,9.69,6691,2014-01-06,8,Mon,6,Early morning,2014-01-06 Mon 6 Hallowed Grounds 9.69
22,2014-01-06T08:01:00Z,Hallowed Grounds,10.07,1874,2014-01-06,8,Mon,6,Early morning,2014-01-06 Mon 6 Hallowed Grounds 10.07
23,2014-01-06T08:06:00Z,Brew've Been Served,18.24,3853,2014-01-06,8,Mon,6,Early morning,2014-01-06 Mon 6 Brew've Been Served 18.24
24,2014-01-06T08:06:00Z,Brew've Been Served,15.58,4434,2014-01-06,8,Mon,6,Early morning,2014-01-06 Mon 6 Brew've Been Served 15.58
25,2014-01-06T08:07:00Z,Brew've Been Served,5.66,6901,2014-01-06,8,Mon,6,Early morning,2014-01-06 Mon 6 Brew've Been Served 5.66
26,2014-01-06T08:14:00Z,Coffee Cameleon,3.2,2418,2014-01-06,8,Mon,6,Early morning,2014-01-06 Mon 6 Coffee Cameleon 3.2
27,2014-01-06T08:16:00Z,Brew've Been Served,14.97,1286,2014-01-06,8,Mon,6,Early morning,2014-01-06 Mon 6 Brew've Been Served 14.97
28,2014-01-06T08:16:00Z,Brew've Been Served,11.2,8411,2014-01-06,8,Mon,6,Early morning,2014-01-06 Mon 6 Brew've Been Served 11.2
29,2014-01-06T08:17:00Z,Brew've Been Served,15.39,8202,2014-01-06,8,Mon,6,Early morning,2014-01-06 Mon 6 Brew've Been Served 15.39
30,2014-01-06T08:23:00Z,Abila Airport,4540.08,9220,2014-01-06,8,Mon,6,Early morning,2014-01-06 Mon 6 Abila Airport 4540.08
31,2014-01-06T09:06:00Z,Kronos Pipe and Irrigation,242.21,9220,2014-01-06,9,Mon,6,Late morning,2014-01-06 Mon 6 Kronos Pipe and Irrigation 242.21
32,2014-01-06T10:02:00Z,Nationwide Refinery,761.64,9735,2014-01-06,10,Mon,6,Late morning,2014-01-06 Mon 6 Nationwide Refinery 761.64
33,2014-01-06T10:18:00Z,Maximum Iron and Steel,2859.51,9220,2014-01-06,10,Mon,6,Late morning,2014-01-06 Mon 6 Maximum Iron and Steel 2859.51
34,2014-01-06T11:33:00Z,Stewart and Sons Fabrication,2144.62,9735,2014-01-06,11,Mon,6,Late morning,2014-01-06 Mon 6 Stewart and Sons Fabrication 2144.62
35,2014-01-06T11:57:00Z,Carlyle Chemical Inc.,3959.66,9220,2014-01-06,11,Mon,6,Late morning,2014-01-06 Mon 6 Carlyle Chemical Inc. 3959.66
36,2014-01-06T12:00:00Z,Coffee Shack,51.51,7117,2014-01-06,12,Mon,6,Early afternoon,2014-01-06 Mon 6 Coffee Shack 51.51
37,2014-01-06T12:00:00Z,Bean There Done That,10.28,1415,2014-01-06,12,Mon,6,Early afternoon,2014-01-06 Mon 6 Bean There Done That 10.28
38,2014-01-06T12:00:00Z,Bean There Done That,16.09,9635,2014-01-06,12,Mon,6,Early afternoon,2014-01-06 Mon 6 Bean There Done That 16.09
39,2014-01-06T12:00:00Z,Brewed Awakenings,5.72,7688,2014-01-06,12,Mon,6,Early afternoon,2014-01-06 Mon 6 Brewed Awakenings 5.72
40,2014-01-06T12:00:00Z,Jack's Magical Beans,11.03,6899,2014-01-06,12,Mon,6,Early afternoon,2014-01-06 Mon 6 Jack's Magical Beans 11.03
41,2014-01-06T12:00:00Z,Brewed Awakenings,16.89,2540,2014-01-06,12,Mon,6,Early afternoon,2014-01-06 Mon 6 Brewed Awakenings 16.89
42,2014-01-06T12:00:00Z,Bean There Done That,8.54,1877,2014-01-06,12,Mon,6,Early afternoon,2014-01-06 Mon 6 Bean There Done That 8.54
43,2014-01-06T12:00:00Z,Brewed Awakenings,4.35,8332,2014-01-06,12,Mon,6,Early afternoon,2014-01-06 Mon 6 Brewed Awakenings 4.35
44,2014-01-06T12:00:00Z,Bean There Done That,5.24,1321,2014-01-06,12,Mon,6,Early afternoon,2014-01-06 Mon 6 Bean There Done That 5.24
45,2014-01-06T12:00:00Z,Bean There Done That,4.27,6895,2014-01-06,12,Mon,6,Early afternoon,2014-01-06 Mon 6 Bean There Done That 4.27
46,2014-01-06T12:00:00Z,Jack's Magical Beans,18.59,9241,2014-01-06,12,Mon,6,Early afternoon,2014-01-06 Mon 6 Jack's Magical Beans 18.59
47,2014-01-06T12:00:00Z,Jack's Magical Beans,27.84,8156,2014-01-06,12,Mon,6,Early afternoon,2014-01-06 Mon 6 Jack's Magical Beans 27.84
48,2014-01-06T12:00:00Z,Jack's Magical Beans,18.1,2463,2014-01-06,12,Mon,6,Early afternoon,2014-01-06 Mon 6 Jack's Magical Beans 18.1
49,2014-01-06T12:16:00Z,Abila Airport,1873.79,8642,2014-01-06,12,Mon,6,Early afternoon,2014-01-06 Mon 6 Abila Airport 1873.79
50,2014-01-06T12:56:00Z,Katerina's Cafe,13.68,8332,2014-01-06,12,Mon,6,Early afternoon,2014-01-06 Mon 6 Katerina's Cafe 13.68
51,2014-01-06T12:57:00Z,Hippokampos,9.16,8156,2014-01-06,12,Mon,6,Early afternoon,2014-01-06 Mon 6 Hippokampos 9.16
52,2014-01-06T13:18:00Z,Abila Zacharo,106.93,2418,2014-01-06,13,Mon,6,Early afternoon,2014-01-06 Mon 6 Abila Zacharo 106.93
53,2014-01-06T13:19:00Z,Gelatogalore,12.74,7253,2014-01-06,13,Mon,6,Early afternoon,2014-01-06 Mon 6 Gelatogalore 12.74
54,2014-01-06T13:19:00Z,Kalami Kafenion,70.1,3484,2014-01-06,13,Mon,6,Early afternoon,2014-01-06 Mon 6 Kalami Kafenion 70.1
55,2014-01-06T13:20:00Z,Hippokampos,34.03,6691,2014-01-06,13,Mon,6,Early afternoon,2014-01-06 Mon 6 Hippokampos 34.03
56,2014-01-06T13:21:00Z,Hippokampos,28.23,9551,2014-01-06,13,Mon,6,Early afternoon,2014-01-06 Mon 6 Hippokampos 28.23
57,2014-01-06T13:22:00Z,Ouzeri Elian,38.9,2540,2014-01-06,13,Mon,6,Early afternoon,2014-01-06 Mon 6 Ouzeri Elian 38.9
58,2014-01-06T13:23:00Z,Hippokampos,13.26,4795,2014-01-06,13,Mon,6,Early afternoon,2014-01-06 Mon 6 Hippokampos 13.26
59,2014-01-06T13:24:00Z,Guy's Gyros,15.44,1415,2014-01-06,13,Mon,6,Early afternoon,2014-01-06 Mon 6 Guy's Gyros 15.44
60,2014-01-06T13:27:00Z,Abila Zacharo,30.08,7688,2014-01-06,13,Mon,6,Early afternoon,2014-01-06 Mon 6 Abila Zacharo 30.08
61,2014-01-06T13:27:00Z,Abila Zacharo,50.14,1286,2014-01-06,13,Mon,6,Early afternoon,2014-01-06 Mon 6 Abila Zacharo 50.14
62,2014-01-06T13:28:00Z,Katerina's Cafe,33.54,8411,2014-01-06,13,Mon,6,Early afternoon,2014-01-06 Mon 6 Katerina's Cafe 33.54
63,2014-01-06T13:28:00Z,Kalami Kafenion,8.64,5407,2014-01-06,13,Mon,6,Early afternoon,2014-01-06 Mon 6 Kalami Kafenion 8.64
64,2014-01-06T13:30:00Z,Guy's Gyros,16.92,7384,2014-01-06,13,Mon,6,Early afternoon,2014-01-06 Mon 6 Guy's Gyros 16.92
65,2014-01-06T13:35:00Z,Hippokampos,36.54,2681,2014-01-06,13,Mon,6,Early afternoon,2014-01-06 Mon 6 Hippokampos 36.54
66,2014-01-06T13:35:00Z,Abila Zacharo,92.05,7354,2014-01-06,13,Mon,6,Early afternoon,2014-01-06 Mon 6 Abila Zacharo 92.05
67,2014-01-06T13:37:00Z,Ouzeri Elian,20.56,6816,2014-01-06,13,Mon,6,Early afternoon,2014-01-06 Mon 6 Ouzeri Elian 20.56
68,2014-01-06T13:39:00Z,Guy's Gyros,11.22,1310,2014-01-06,13,Mon,6,Early afternoon,2014-01-06 Mon 6 Guy's Gyros 11.22
